,Title,Views,Likes,Dislikes,Comment
0,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,Why do trailers these days reveal the entire plot of the movie?
1,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,Can't believe that he is 68 years old. At this age it's very defficult to maintain such physique.
2,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,We sure this old man isn’t an Earthbender like Toph?
3,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,He looks even better in the positive role
4,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,This feels like Terminator 2 the bad guy becomes a guardian.
5,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,"We just gonna forget about the abduction, and the forcibly impregnation of a girl, and another young lady who almost suffered the same fate?"
6,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,Moral of the Story: Don’t come to his house!
7,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,Now this is a sequel I never saw coming.
8,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,"""I'm a villain, sonny. I was meant to be hated.""
""Not to me"""
9,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,"This reminds me of a combination of The Purge, A Quiet Place and John Wick."
10,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,"can’t wait to see this, the first one was so goood"
11,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,The villain is now the hero.
12,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,Daredevil's Grandpa is a straight savage lol!
13,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,"Thanks for showing us the whole movie in the trailer, no need to cut any of the deaths, not like I'm anticipating any suspense during the full viewing or anything."
14,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,"can’t wait to see this, the first one was so goood"
15,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,I'm soooo confused right now. Did he steal the kid from the main character in the first movie? Or is this a prequel?
16,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,I hate that I'm rooting for him now!
17,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,Thanks for showing the complete movie in 3 minutes… no suspense left 😤
18,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,"""Should I tell her or you?""
""I'm Daredevil"""
19,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,looks like it's going to be crazier 🔥🔥🔥
20,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,This is gonna be fire
21,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,they need more scenes with the Rottie
22,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,It's going to be difficult rooting for Lang's character in the sequel after he tried to impregnate a second woman he was willing to keep imprisoned in his basement in the first movie 🤢
23,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,"This great lord went from being a very villainous villain in the first part, to becoming a hero in the second. What an impressive and interesting twist they put on the plot. I cannot wait to watch it! 👌🏻"
24,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,I'm sensing a twist at the end....he's probably gonna end up locking her in a basement too.
25,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,"Plot Twist:

This is part of the MCU, the old guy is a retired Daredevil."
26,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,When you're that cool of a villain they have to make you the hero
27,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,Fede Alvarez is only producing this one? Guess he embraced his role as Evil Dead director and gave up on directing...
28,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,Those young villains shouldn't have touched an old man and his family members in the first place since the old man's fury looks so huge.
29,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,"Is it just me, or doesn't HE look like a more badass Old Man Logan than Hugh Jackman?"
30,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,"They really showed a trailer of him killing the “antagonist” with an axe to the head. 
These trailers built different."
31,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,"Stick, the guy who trained Daredevil gets his own solo film!"
32,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,Man this gave me chills .They maintained the legacy of their series
33,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,Kinda disappointed that Jane Levy's not returning. With Zoey's Playlist being canceled I could've really used some good news. ☹
34,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,Tell me him and the lil girl would be perfect to be cast in “The Last Of Us” as Joel and Ellie.
35,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,Is this the Daredevil in his 60s? He can still kick ass!
36,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,Grandpa has turned good after all the beatings he took in the first part...
37,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,"If you meditate regular, the you also got that ""'power of sense ""'."
38,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,That old dude got no chills!
39,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,Last 46 sec is enough as a teaser trailer. they reveald almost all.
40,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,"""I once was blind, but now you'll see, the dark is more of a home and friend to me. So leave the girl and be on your way, or I'll book you in for a permanent stay🔨"". Looking forward to seeing this when it's out 🙂."
41,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,"Somehow, I think the continuation of the previous story could have been a better idea."
42,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,മലയാളികൾ ആരും ഇല്ലേ...pewerr  കാണിക്കട പുള്ളാരേ😅😂😂
43,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,Damn I love how they made him into the badass protagonist we're rooting for now. :D
44,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,I feel like they showed everything in this trailer but I’m still gonna watch it anyway. The first one was dope and I’m excited to see what’s gonna happen on this one.
45,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,"Wow! First part he was villain, second part he's HERO! I like this twist"
46,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,I've definitely have been waiting in anticipation for this sequel!! The first movie was a nail biter of intensity and great acting scenes. Facts 💯%!!
47,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,"The first one was so marvelous, hope this sequal be same like that one❤️"
48,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,"The light was turned off
The blind man: Yall gonna see what I SEE
That's the slogan of the whole movie huh"
49,DON'T BREATHE 2 Trailer (2021),"241,189 views",8.5K,77,"I feel this is one of those ""same character, different story"" where part  of the first movie never happened... like Highlander."
50,CLIFFORD THE BIG RED DOG Trailer (2021),"226,008 views",6.6K,203,Remember guys if you’re dog isn’t massive you don’t love him enough.
51,CLIFFORD THE BIG RED DOG Trailer (2021),"226,008 views",6.6K,203,"I literally never thought i'd see the day, where the would make a live action film of one of my favorite childhood cartoons"
52,CLIFFORD THE BIG RED DOG Trailer (2021),"226,008 views",6.6K,203,At least they didn't spoil the part where the US military and the Rock had to fight Clifford after mistaking him for a kaiju.
53,CLIFFORD THE BIG RED DOG Trailer (2021),"226,008 views",6.6K,203,If there isn’t a scene where he goes for a giant shit in the park and Jeff goldblum turns up and says “that’s one big pile of shit” I’m not watching it
54,CLIFFORD THE BIG RED DOG Trailer (2021),"226,008 views",6.6K,203,"Is this going to be like an American Paddington? Oh, and John Cleese as the token British guy, of course."
55,CLIFFORD THE BIG RED DOG Trailer (2021),"226,008 views",6.6K,203,Will this open up an extended movie universe? Clifford versus the very hungry caterpillar: Furmageddon.
