,index,Title,Comment,Language,Comment Length
0,0,DON'T BREATHE 2  ,Why do trailers these days reveal the entire plot of the movie?,en,63
1,1,DON'T BREATHE 2  ,Can't believe that he is 68 years old. At this age it's very defficult to maintain such physique.,en,97
2,2,DON'T BREATHE 2  ,We sure this old man isn’t an Earthbender like Toph?,en,52
3,3,DON'T BREATHE 2  ,He looks even better in the positive role,en,41
4,4,DON'T BREATHE 2  ,This feels like Terminator 2 the bad guy becomes a guardian.,en,60
5,5,DON'T BREATHE 2  ,"We just gonna forget about the abduction, and the forcibly impregnation of a girl, and another young lady who almost suffered the same fate?",en,140
6,6,DON'T BREATHE 2  ,Moral of the Story: Don’t come to his house!,en,44
7,7,DON'T BREATHE 2  ,Now this is a sequel I never saw coming.,en,40
8,8,DON'T BREATHE 2  ,"""I'm a villain, sonny. I was meant to be hated.""
""Not to me""",en,60
9,9,DON'T BREATHE 2  ,"This reminds me of a combination of The Purge, A Quiet Place and John Wick.",en,75
10,10,DON'T BREATHE 2  ,"can’t wait to see this, the first one was so goood",en,50
11,11,DON'T BREATHE 2  ,The villain is now the hero.,en,28
12,12,DON'T BREATHE 2  ,Daredevil's Grandpa is a straight savage lol!,en,45
13,13,DON'T BREATHE 2  ,"Thanks for showing us the whole movie in the trailer, no need to cut any of the deaths, not like I'm anticipating any suspense during the full viewing or anything.",en,163
14,14,DON'T BREATHE 2  ,"can’t wait to see this, the first one was so goood",en,50
15,15,DON'T BREATHE 2  ,I'm soooo confused right now. Did he steal the kid from the main character in the first movie? Or is this a prequel?,en,116
16,16,DON'T BREATHE 2  ,I hate that I'm rooting for him now!,en,36
17,17,DON'T BREATHE 2  ,Thanks for showing the complete movie in 3 minutes… no suspense left 😤,en,70
18,18,DON'T BREATHE 2  ,"""Should I tell her or you?""
""I'm Daredevil""",en,43
19,19,DON'T BREATHE 2  ,looks like it's going to be crazier 🔥🔥🔥,af,39
20,20,DON'T BREATHE 2  ,This is gonna be fire,en,21
21,21,DON'T BREATHE 2  ,they need more scenes with the Rottie,en,37
22,22,DON'T BREATHE 2  ,It's going to be difficult rooting for Lang's character in the sequel after he tried to impregnate a second woman he was willing to keep imprisoned in his basement in the first movie 🤢,en,184
23,23,DON'T BREATHE 2  ,"This great lord went from being a very villainous villain in the first part, to becoming a hero in the second. What an impressive and interesting twist they put on the plot. I cannot wait to watch it! 👌🏻",en,203
24,24,DON'T BREATHE 2  ,I'm sensing a twist at the end....he's probably gonna end up locking her in a basement too.,en,91
25,25,DON'T BREATHE 2  ,"Plot Twist:

This is part of the MCU, the old guy is a retired Daredevil.",en,73
26,26,DON'T BREATHE 2  ,When you're that cool of a villain they have to make you the hero,en,65
